reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOGewoyd4duI-2V3M8XJbyZ1FVCl-nPtLfNEZfXjKHzGS-bjF_d9b1plRaqLpx2-jtke4Bhk6ljGAWt6uO4,Mik Scheper,https://play-lh.googleusercontent.com/a-/AOh14Gj5cuWTmCTX55G5V0-ElXmsKLIOPPWQOH9D1dGj4jM,"Tried the app for the first time in years. It asks for my PIN, which is fine, except my ANZ PIN has more than four digits, and it only lets me enter four. Then it chides me for getting it wrong. Somebody really didn't think this trough. I might call Australia to see if it can be sorted, but it seems unlikely.",1,1,4.21.0.0035,2019-12-29 04:59:55,"Hi Mik, Sorry to hear you're having trouble with the update. Can you please send through your mobile number and any other information to mobile@anz.com and I will look into this for you? Regards, Mobile Banking - Jessica",2016-02-26 04:24:57,most_relevant,com.anz.android.gomoney
gp:AOqpTOGRT_rWDrxvGoN6jjHgHCze4DApekJ-ivt9-fJMq-01ID7RbUzXqYnHystGhaG5Ya9GVfrLhr3obbUIr3A,J Pratt,https://play-lh.googleusercontent.com/a-/AOh14GgqKfp96ymawRqfzsZuLzoWM-PETTkZ4SChZfgaZg,Can't save contacts/payment information on Nexus 6P and automatically logs out wayyy too much. Also doesn't support multitasking (not because it can't but because for some reason it doesn't trust you if you are) and also requires that I disable my night mode app to use it.,1,2,3.0.1,2016-06-10 18:49:16,,,most_relevant,com.anz.android.gomoney
gp:AOqpTOE6DZPwKUg3q6mRaVGpi1ENcIVJpjoVnP9CGedxKv6I9qm_EVOBv36V7VtjXRiGFUm8taGH3n8kBCSx408,Susi Rose,https://play-lh.googleusercontent.com/a/AATXAJysiGfXTUGRqiGY1Sjl5GLeAQIK3s38H4njVFnn=mo,"Downloaded this app put in c r n and password, but can't log into the account as the register button has the information button over lapping it. Now every time I try to press register to log into my account, I always get the info of where to get your c r n and password! What good is this app if I can't even log into it? Please fix this asap.",1,1,2.1.0,2013-09-08 00:03:00,"Hi Susi, Sorry to hear you're having trouble with ANZ goMoney. Can you please send me your mobile number and device details to mobile@anz.com and I'll work on getting this resolved for you? Regards, Mobile Banking - Darien",2013-09-09 04:32:48,most_relevant,com.anz.android.gomoney
lg:AOqpTOE0CsVuo2fuIqq61Tc-d4hTQWPru0HV4tx0ig9hx2ZzqQoaEOrz4O6h3zSQIzLAJNGsAVAODozqfRBYuMo,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tried to pay someone, app is limited to $1000, but if I use browser, no such limit, what a joke. Apparently this app is only secure to a $1000, but, browser is more secure, so what's the purpose of an app? G for garbage. What don't you have a pop up giving reason/limitation, tried to do something else the other day, also was not allowed to do. What a joke, browser access is apparently more secure, and has no such restrictions, back to browser.",1,0,2.1.0,2014-06-15 18:47:36,"Hello, Sorry to hear you're having trouble with ANZ goMoney. Can you please send your mobile number, the name of the device that is unsupported and any further details around the issue to mobile@anz.com and I'll look into this for you. Thanks, Amanda",2013-11-20 05:44:51,most_relevant,com.anz.android.gomoney
gp:AOqpTOHn0aEdmd4a5pwNUHjLwMFYAFnrmlVfAzCJOeAR4nN3vDFCdjM6z-WLc3wHljtkcXrHH6aGBNXRw2OhyBo,Aazim Ibrahim,https://play-lh.googleusercontent.com/a-/AOh14GgXUcsaWIs8LM6TbmL898cbY6FyJ9OrLVYIDTEK,Does not work when I want it to. Keeps saying service interrupted. Give a proper error if its down for maintenance rather than cryptic messages that dont explain the actual issue.,1,0,2.1.0,2014-01-18 21:15:32,"Hi Aazim, Sorry to hear you're having trouble with ANZ goMoney. Can you please send your mobile number and any further details around the issue to mobile@anz.com and I'll work on getting this resolved for you. Regards, Mobile Banking - Amanda",2014-01-20 08:45:55,most_relevant,com.anz.android.gomoney
gp:AOqpTOFotRlVggPbzi9CBxE-1WgBfcCqY73wdRhkFvgZ2zXNd6DjTiqEbGxHDQl-oSTGomcIHrgBsNKIoNG3yLk,Trisha Roche,https://play-lh.googleusercontent.com/a/AATXAJyc6o6X01zdMsr-rrRGjy3RZPCo2r9ZS7P6-N_g=mo,"Way behind the Westpac app.  Money spent on debit or credit card takes days to appear.   No live data! With Westpac I can pay, go outside the shop and see the remaining balance live!  I don't use paypass as that takes even longer! Even payments between accounts - can show the deposit from one account and not the withdrawal from the other?!?",1,28,2.1.0,2014-12-17 21:04:37,,,most_relevant,com.anz.android.gomoney
gp:AOqpTOELd5riZn4kPlEk98vba3SX_4hGobtc0JyxOS-Cv4U0Un_d5OblVYPoex_ELGrrX4WCagEhfYCJBXlF0LI,Michael Visser,https://play-lh.googleusercontent.com/a-/AOh14GiwmWDgbe7848ZPSCCCxXhvfDzT1aunPm93Y1JhLA,"I can sign up for a bank account with a phone number and yet can't use GoMoney without an active Australian mobile number, stupid requirement affecting expats.",1,0,2.1.0,2014-11-02 06:42:06,,,most_relevant,com.anz.android.gomoney
gp:AOqpTOHn8eKlm8H7JyZRmicxfXjklK7FkGNtod7nZ5eWCifM-k1BH8hkHZCPZKBH1SC6c41vc6ZAYE9QIotdDTo,Nicholas King,https://play-lh.googleusercontent.com/a-/AOh14GiCj_74FeFjVM7eHR3hi59HkcnccK4nfBfdxVBktQ,Sat in anz branch as per -usual staff are not up to date with their companies mobile delivery Bounced between 3 people and three phone calls to the anz god...then handballed some pathetic excuse for reasons why the pin number remained unchanged after a reset 3 times....and then they asked me why I changed to Nab ...go figure.,1,0,2.1.0,2013-06-04 08:40:40,"Hi Nicholas

Sorry to hear that you did not have a great experience.
Can you please send an email to mobile@anz.com with your mobile number and I will be able to help you with the PIN issues.

Cheers Ash ",2013-06-04 09:13:09,most_relevant,com.anz.android.gomoney
gp:AOqpTOHFpXxZ3R3gbBmmz641lN_j9oSf3oO3OniwCRXU62wkGS6df2mZwHyW-TZOtvJhRzRTgqcNlFpEc2W8aAo,Joe Jongue,https://play-lh.googleusercontent.com/a-/AOh14GhilOuyg70G_BZtSS0isNdH0BDhP7nSOHcAABHQ4yE,Stopped working all of a sudden. Force closes. Also fix or replace that atm at Southgate.,1,0,2.1.0,2013-06-13 02:50:19,"Hi Joe,
We are aware of the issues with goMoney for Android. It is under investigation and should be resolved shortly. In the interim please use www.anz.com/mobilelanding for banking on your mobile. Apologies for any inconvenience caused. Regards, Mobile Banking - Ash",2013-06-13 05:54:47,most_relevant,com.anz.android.gomoney
gp:AOqpTOFcTArkOIqcS2i2zj4eAc5KLb6Aw3X8JPZVQNDZkLgzMvrhf5mktBybMzHnGNx0ySuKbHnoog910qecR4I,Alys Lizza,https://play-lh.googleusercontent.com/a/AATXAJyiXJX2-6dkrUhJOqV1owJPbmhWfZqKeCJgO2AM=mo,Crashes immediately won't load my registration.. S#*T,1,0,2.1.0,2014-05-19 03:33:04,"Hi Alys, Sorry to hear you were having issues with goMoney. Is it up and running for you now? If you are continuing to have difficulties please email mobile@anz.com with your mobile number and device and we will look into it for you. Mobile Banking - Amanda",2014-05-21 19:23:38,most_relevant,com.anz.android.gomoney
gp:AOqpTOHmFTL9-NQxPdf48JD0vVAcBueIxYWGzCb1Cii1fwiFmdGTP4TIegHIjLCInY_oW8Edfs8Pmos2LvVHcKA,Curtis Seguin,https://play-lh.googleusercontent.com/a/AATXAJyqSQs-FltMjxuSMjKhSnA_A9n9dZLMAWIG94x-=mo,What are developer settings that I need to turn off. I can't  Open the app because of this message. Have tried uninstall and reinstall. No luck.,1,0,2.1.0,2014-01-23 14:32:49,"Hi Curtis, Sorry to hear you're having trouble with ANZ goMoney. Can you please send your mobile number and any further details around the issue to mobile@anz.com and I'll work on getting this resolved for you. Regards, Mobile Banking - Amanda",2014-01-20 08:46:13,most_relevant,com.anz.android.gomoney
gp:AOqpTOEb0MoHUCY-GO6Fn3Qom2FlZ6bzTWYrk8zDuIqrVIlhB0evc8j5c5ISY-zSlCD0C1KNtGSAC_mYcxH5WSg,Yasir Farabi,https://play-lh.googleusercontent.com/a-/AOh14Gi-buUvlRrDfCVTkA2UgpTM-z95zyqkouB0JuykCoU,Can't use the app because the activation SMS has never been delivered to my phone.,1,0,2.1.0,2014-11-28 08:07:38,"Hi Yasir, Sorry to hear you are having trouble with goMoney. Can you please send through your mobile number to mobile@anz.com and I will look into this for you? Regards, Mobile Banking - Jessica",2014-12-03 05:26:04,most_relevant,com.anz.android.gomoney
gp:AOqpTOE_z1gU3k0k4-Dd3VcxTqdIjVQTLfpj6Q4ui_3HBFBBQS1NWVHWwjwE6UgUgBIrwxwFj0Qk01ulIlGbFDM,Kenneth Luke,https://play-lh.googleusercontent.com/a-/AOh14Gis6lGdrcrhvKPuL9X2gWx-dwJNVuCfsPPTUilC9Q,Can ANZ make this app available to the users in Papua New Guinea???,1,0,2.1.0,2013-11-08 02:25:15,,,most_relevant,com.anz.android.gomoney
gp:AOqpTOGxd9YbO74LcWrFZSjE9esUln5CaME6U8OPAbc7TEU4R7KprnrJJNmJdyyesXIFHpD785qz4GU3S5mfb2I,Prayash Pradhan,https://play-lh.googleusercontent.com/a/AATXAJxp8-1r-pR5MmfnrUhjq__l4DiFoebZkPRkpGc=mo,Too basic in this competitive time.,1,0,2.1.0,2015-01-04 07:05:12,,,most_relevant,com.anz.android.gomoney
lg:AOqpTOEKvvKtWjKEnJdoX-mLhiJ5WdEMqPzE3FnOdiruWcq5aOpbWacLSyC-rrf0hAWFeTjb_mc1QKZCGAdwTfo,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Won't allow me to log into my ANZ account that I can access via the internet using a normal pc web browser so for this nexus 7 user its useless,1,0,2.0.0,2012-11-09 16:33:57,,,most_relevant,com.anz.android.gomoney
lg:AOqpTOG3xvzB-oXhE_x6AaO0SaLNs5es6IQE-t524G1rDKEBmNnKpUZqA_QexrIZHlnFhXycYBDW02vriI7g1pc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Works great on samgung galaxy phone. Doesnt work at all on the samsung galaxy tablet,1,0,2.0.0,2012-10-13 07:53:28,"Hey, the latest update of ANZ goMoney is tablet friendly. Download the update on your Android tablet and give it a go. Let me know if you have any questions, our email is mobile@anz.com. Thanks ^Leon",2013-03-28 07:13:55,most_relevant,com.anz.android.gomoney
lg:AOqpTOH-hkst8hf0lTXSLgCTLz4piJUIMk4k0zvMcwZj1cQ9Zr50edp_9vNEKggiU9KyCOVdM1FnplIQwOd6EKc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Does not work at all on tablet. Installed & uninstalling twice & still nothing. Just comes up with service untrusted. Not happy.,1,0,2.0.0,2012-09-07 06:22:39,,,most_relevant,com.anz.android.gomoney
lg:AOqpTOFRLNrZ5M2-4KvqQg8gHV-BfiOPUzmU3jtH0P0S17sfi8qIE74E-KW2_jF8YHrTNvZFBnLufgle4JTOPhg,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"App just comes with this error all the time, and r u listening to any complaints?",1,0,2.0.0,2012-10-01 15:10:16,,,most_relevant,com.anz.android.gomoney
lg:AOqpTOFI6zzKI4fNlvoiQJf-uv7KUtDYg4KwyxTOjJQcb2gCAnlNSmIyj1KX7dAIMgHUj0k4xeUIIl8GHfzPTac,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Works on samsung 8.9 tablet. Htc sensation but not on this,1,0,2.0.0,2012-11-01 16:24:58,,,most_relevant,com.anz.android.gomoney
